Rank,School,Overall score,Compen- sation,Learning,Network- ing,Entrepre- neurship,Diversity,Overall score with BBW weights,Scaled overall score with BBW weights,Rank w/ BBW weights applied to 'normalized' scores,Rank w/ BBW weights applied to z-scores,Overall score with true weights,Scaled overall score with true weights,Rank w/true weights,Compen- sation z-score,Learning z-score,Network- ing z-score,Entrepre- neurship z-score,Diversity z-score,Overall z-score with BBW's wts
1,Stanford,100,100.0,74.8,100.0,100,69.9,90.8,100,1,1,93.4,100,1,1.7545,1.3246,1.5637,2.6705,0.7942,1.6352
2,Dartmouth (Tuck),92,97.3,69.0,93.2,53,69.3,81.4,88,2,2,86.9,92,2,1.6499,1.0365,1.2700,0.3245,0.7666,1.1874
3,Harvard,89,94.9,55.4,87.8,65,69.3,77.6,84,5,5,84.8,89,3,1.5569,0.3612,1.0367,0.9382,0.7666,1.0121
4,Chicago (Booth),88,94.5,59.6,91.0,71,55.2,78.6,85,3,3,83.6,88,4,1.5414,0.5698,1.1750,1.2550,0.1168,1.0671
5,Northwestern (Kellogg),88,94.3,59.0,96.2,59,57.6,78.1,84,4,4,83.4,87,5,1.5337,0.5400,1.3996,0.6561,0.2274,1.0342
5,Columbia,85,93.1,56.8,92.4,62,53.3,76.4,82,6,8,81.7,85,6,1.4872,0.4307,1.2354,0.7947,0.0292,0.9598
7,UC at Berkeley (Haas),84,91.0,46.8,79.6,73,60.5,72.6,78,11,13,80.2,84,7,1.4058,-0.0659,0.6826,1.3094,0.3610,0.7945
7,MIT (Sloan),82,94.0,33.0,73.4,67,55.6,68.0,72,21,24,79.1,82,8,1.5220,-0.7511,0.4148,1.0570,0.1352,0.5619
9,Pennsylvania (Wharton),81,92.2,17.9,86.3,53,63.9,64.8,68,28,31,78.4,81,9,1.4523,-1.5010,0.9720,0.3492,0.5177,0.3907
10,Virginia (Darden),81,89.9,68.6,88.7,55,44.3,76.0,82,7,7,78.4,81,10,1.3631,1.0167,1.0756,0.4581,-0.3855,0.9622
10,NYU (Stern),81,90.7,44.9,81.5,45,61.4,69.1,73,18,20,78.1,81,11,1.3942,-0.1602,0.7646,-0.0566,0.4025,0.6203
12,Yale,81,86.1,67.8,85.0,58,56.8,75.2,81,8,9,77.8,81,12,1.2159,0.9769,0.9158,0.5769,0.1905,0.9348
13,Michigan (Ross),79,82.4,54.3,92.8,54,63.3,71.9,77,13,14,76.1,79,13,1.0725,0.3066,1.2527,0.3938,0.4901,0.7744
13,USC (Marshall),77,80.4,48.8,86.4,66,62.5,70.0,74,15,16,74.7,77,14,0.9950,0.0335,0.9763,0.9926,0.4532,0.6957
