Downloading TIGER/Line ZIP…
Reading shapefile…

Virginia (VA) — 119th Congress districts: perimeter + compactness

district  perimeter_km  perimeter_mi   area_km2   area_mi2  polsby_popper  schwartzberg_ratio
   VA-01      798.6963      496.2868 10055.8442  3882.5831         0.1981              0.4451
   VA-02      795.5855      494.3539 10194.2202  3936.0104         0.2024              0.4499
   VA-03      212.7077      132.1705  1159.3318   447.6205         0.3220              0.5674
   VA-04      625.0835      388.4089  9140.6569  3529.2274         0.2940              0.5422
   VA-05      937.6482      582.6276 24889.7601  9609.9901         0.3558              0.5965
   VA-06     1006.4585      625.3843 16332.3812  6305.9676         0.2026              0.4501
   VA-07      660.1840      410.2193  7205.7219  2782.1448         0.2078              0.4558
   VA-08      132.8047       82.5210   410.5295   158.5063         0.2925              0.5408
   VA-09     1327.2647      824.7240 26321.1923 10162.6692         0.1878              0.4333
   VA-10      441.5836      274.3873  4417.9703  1705.7879         0.2847              0.5336
   VA-11      176.9185      109.9321   658.6490   254.3058         0.2644              0.5142

Wrote: va_cd119_perimeter_compactness.csv
