_id,fighter_id,name,height,weight,reach,stance,dob,n_win,n_loss,n_draw,sig_str_land_pM,sig_str_land_pct,sig_str_abs_pM,sig_str_def_pct,td_avg,td_land_pct,td_def_pct,sub_avg,tsne_2d_x,tsne_2d_y,tsne_3d_x,tsne_3d_y,tsne_3d_z
67533c6e7a2ac5f7e09aec69,2d077e22886298be,Wuziazibieke Jiahefu,"5' 9""",145 lbs.,"70""",Orthodox,"Apr 09, 1990",29,12,1,0.41,0.5,2.84,0.41,6.08,0.5,0.0,0.0,-2.456593,43.6064,3.625785,12.278512,7.830421
67533c6e7a2ac5f7e09aec6a,7debc13b36343605,Cristian Quinonez,"5' 8""",135 lbs.,"70""",Orthodox,"Apr 26, 1996",18,5,0,4.19,0.4,4.55,0.55,1.37,0.37,0.84,0.0,35.213764,-3.5824063,8.771899,-4.618976,-8.284283
67533c6e7a2ac5f7e09aec6b,d29b5c4f22c6357d,Gilbert Yvel,"6' 2""",225 lbs.,"77""",Orthodox,"Jun 30, 1976",39,16,1,1.05,0.47,1.78,0.5,0.0,0.0,0.25,1.0,-20.445183,-16.280392,-6.360468,-5.1694446,2.116193
67533c6e7a2ac5f7e09aec70,8667caa0451d245b,Kennedy Nzechukwu,"6' 5""",205 lbs.,"83""",Southpaw,"Jun 13, 1992",13,5,0,5.34,0.47,4.83,0.51,0.58,0.45,0.8,0.2,46.753113,-16.941235,11.580036,-9.876359,-4.81578
67533c6e7a2ac5f7e09aec6e,7139cd2ae4bf6a29,Takahiro Oba,"5' 8""",200 lbs.,,Southpaw,,5,7,1,0.23,0.25,1.82,0.69,0.0,0.0,0.0,0.0,-36.94421,-29.53458,-10.477076,-2.8592212,11.36132
67533c6e7a2ac5f7e09aec6f,22a1f83edb865aee,Mikheil Sazhiniani,"6' 0""",205 lbs.,"71""",Orthodox,"Oct 05, 1996",13,3,0,2.27,0.28,3.03,0.52,0.0,0.0,1.0,0.0,9.4392185,-28.626318,-3.8844116,-12.29919,-6.070234
67533c6e7a2ac5f7e09aec71,260bd4cef10b033f,Ihor Potieria,"6' 3""",185 lbs.,"75""",Southpaw,"May 29, 1996",20,7,0,4.57,0.5,4.72,0.5,0.77,0.18,0.66,0.0,32.314617,-23.38742,8.386715,-9.441974,-2.4552436
67533c6e7a2ac5f7e09aec72,d9e1942637bd57a4,Raja Shippen,"5' 6""",145 lbs.,,,"Oct 07, 1986",18,11,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.22775,8.447043,-16.11998,3.9049199,-9.493774
67533c6e7a2ac5f7e09aec73,edfe95e3c33a4bf8,Adam Lynn,"5' 10""",155 lbs.,,Orthodox,,17,10,0,1.47,0.63,6.95,0.1,0.0,0.0,0.5,0.0,-20.007935,-35.134598,-6.927758,-11.821096,5.7939186
67533c6e7a2ac5f7e09aec74,91acd6910b802a9e,Chris Lytle,"5' 11""",170 lbs.,"68""",Orthodox,"Aug 18, 1974",31,18,5,3.76,0.45,3.03,0.58,0.7,0.55,0.55,2.4,5.7212453,11.602918,12.829627,5.1188736,-5.959435
